"6247","20868","1"
"6247","20867","1"
"6247","20846","2"
"6247","20838","2"
"6247","20801","1"
"6247","20718","1"
"6222","9268","2"
"6222","3857","3"
"6222","11367","1"
"6222","15834","1"
"6222","6879","1"
"12196","20871","19"
"3393","16049","1"
"3393","18230","1"
"8438","3328","1"
"8438","9114","1"
"8438","20869","1"
"8438","20521","1"
"12196","10133","3"
"8721","12460","1"
"8721","20847","1"
"8721","20849","1"
"8721","20839","1"
"8721","20820","1"
"8721","20761","1"
"8721","20752","1"
"8721","20575","1"
"11766","20813","6"
"11766","20841","2"
"11766","17486","2"
"11766","20827","2"
"11766","20796","1"
"10394","18802","8"
"12140","3315","1"
"11946","11318","1"
"12200","20820","1"
"12200","20871","1"
"12200","20368","1"
"12200","20308","1"
"12198","20872","9"
"12198","20871","1"
"9175","20873","3"
"12198","20874","4"
"12198","20873","1"
"12198","10133","1"
"12198","16092","1"
"12198","3315","1"
"12198","20852","1"
"12198","20497","1"
"12198","20503","1"
"12198","20446","1"
"12198","20578","1"
"12198","20078","1"
"12198","20077","1"
"12198","20658","1"
"12198","19427","1"
"12198","7970","1"
"12198","20875","4"
"12203","20876","1"
"12203","20877","2"
"12203","20878","4"
"12203","20879","1"
"12203","20880","2"
"12129","20878","1"
"12129","20874","1"
"12129","3324","1"
"12203","20881","2"
"12203","20882","4"
"12203","20883","1"
"11729","20883","1"
"11729","20881","1"
"11729","20876","1"
"11729","20873","1"
"12151","20827","4"
"12151","18404","4"
"11283","18908","1"
"11283","16675","1"
"11283","10541","1"
"2586","20577","4"
"3144","5625","4"
"12140","20827","5"
"12204","20876","1"
"12204","20875","1"
"12204","20873","1"
"12204","10133","1"
"12204","20838","1"
"12204","20810","1"
"12204","20708","1"
"12204","19418","1"
"12204","20096","1"
"12204","17775","1"
"12204","20858","1"
"12205","20884","2"
"12205","20885","3"
"12205","10133","1"
"12205","20886","3"
"12205","20887","1"
"12205","20888","5"
"12205","20716","1"
"12205","20889","4"
"12205","20890","1"
"12205","20776","1"
"12198","20886","1"
"12198","20889","1"
"12198","20890","1"
"12198","20692","1"
"1090","19893","1"
"12207","20881","1"
"12207","20873","2"
"12207","3150","1"
"12208","7086","1"
"12208","20816","1"
"12208","20852","1"
"12208","19730","1"
"12208","20887","1"
"12208","20307","1"
"5276","20848","1"
"5276","20827","1"
"5276","20887","1"
"12209","20891","1"
"12209","20892","1"
"12209","20893","2"
"12209","20777","1"
"12209","19646","1"
"1714","20878","1"
"1714","20879","1"
"1714","20891","2"
"6023","20718","1"
"3220","20873","2"
"7748","20845","2"
"5194","20798","1"
"5194","20782","1"
"9133","16594","3"
"3393","13530","1"
"3393","3063","1"
"3393","17373","1"
"3393","14526","1"
"3393","7428","1"
"3393","11327","1"
"10985","17868","1"
"3393","7145","1"
"3393","11329","1"
"3393","20696","1"
"3393","19127","1"
"10985","16120","1"
"3393","16275","1"
"3393","17371","1"
"3393","20871","2"
"3393","3315","54"
"10985","14635","1"
"10985","14703","1"
"3393","18000","1"
"3393","19179","2"
"3393","14732","1"
"3393","13783","1"
"3393","12725","1"
"3393","20832","2"
"3393","18514","1"
"3393","17956","2"
"1393","796","3"
"12212","20830","1"
"12212","20700","1"
"12212","20833","1"
"12212","20832","1"
"12212","20609","1"
